app,time,tot_time
com.contextlogic.wish,3380,0
com.alibaba.intl.android.apps.poseidon,3428,0
com.meditation.deepsleep.relax,3389,0
me.lyft.android,3305,0
com.yahoo.mobile.client.android.mail,3513,0
com.linkedin.android,3342,0
com.yahoo.mobile.client.android.finance,3377,0
tv.pluto.android,3389,0
com.gamma.scan,3283,0
org.telegram.messenger.web,3345,0
com.whatsapp,3676,0
com.instagram.android,3479,0
com.facebook.orca,3882,0
com.zzkko,3399,0
com.disney.disneyplus,3386,0
com.snapchat.android,3550,0
com.facebook.lite,3298,0
com.ubercab,3339,0
com.mcdonalds.mobileapp,3421,0
com.netflix.mediaclient,3381,0
com.discord,3334,0
com.duolingo,3510,0
com.ebay.mobile,3425,0
com.outfit7.talkingnewsfree,3298,0
com.pinterest,3349,0
tv.twitch.android.app,3345,0
kjv.bible.kingjamesbible,3449,0
com.tinder,3427,0
com.expedia.bookings,3395,0
com.indeed.android.jobsearch,3307,0
com.contextlogic.wish,3425,0
com.alibaba.intl.android.apps.poseidon,3457,0
com.meditation.deepsleep.relax,3444,0
me.lyft.android,3306,0
com.yahoo.mobile.client.android.mail,3338,0
com.linkedin.android,3375,0
com.yahoo.mobile.client.android.finance,3383,0
tv.pluto.android,3342,0
com.gamma.scan,3668,0
org.telegram.messenger.web,3529,0
com.whatsapp,3454,0
com.instagram.android,3461,0
com.facebook.orca,3660,0
com.zzkko,3464,0
com.disney.disneyplus,3396,0
com.snapchat.android,3354,0
com.facebook.lite,3409,0
com.ubercab,3394,0
com.mcdonalds.mobileapp,3361,0
com.netflix.mediaclient,3409,0
com.discord,3335,0
com.duolingo,3548,0
com.ebay.mobile,3408,0
com.outfit7.talkingnewsfree,3586,0
com.pinterest,3286,0
tv.twitch.android.app,3374,0
kjv.bible.kingjamesbible,3462,0
com.tinder,3524,0
com.expedia.bookings,3429,0
com.indeed.android.jobsearch,3457,0
com.contextlogic.wish,3349,0
com.alibaba.intl.android.apps.poseidon,3409,0
com.meditation.deepsleep.relax,3462,0
me.lyft.android,3287,0
com.yahoo.mobile.client.android.mail,3372,0
com.linkedin.android,3492,0
com.yahoo.mobile.client.android.finance,3382,0
tv.pluto.android,3314,0
com.gamma.scan,3373,0
org.telegram.messenger.web,3548,0
com.whatsapp,3432,0
com.instagram.android,3555,0
com.facebook.orca,3626,0
com.zzkko,3473,0
com.disney.disneyplus,3305,0
com.snapchat.android,3316,0
com.facebook.lite,3426,0
com.ubercab,3356,0
com.mcdonalds.mobileapp,3326,0
com.netflix.mediaclient,3542,0
com.discord,3290,0
com.duolingo,3345,0
com.ebay.mobile,3455,0
com.outfit7.talkingnewsfree,3336,0
com.pinterest,3393,0
tv.twitch.android.app,3320,0
kjv.bible.kingjamesbible,3367,0
com.tinder,3387,0
com.expedia.bookings,3365,0
com.indeed.android.jobsearch,3348,0
com.contextlogic.wish,3368,0
com.alibaba.intl.android.apps.poseidon,3483,0
com.meditation.deepsleep.relax,3369,0
me.lyft.android,3346,0
com.yahoo.mobile.client.android.mail,3418,0
com.linkedin.android,3416,0
com.yahoo.mobile.client.android.finance,3374,0
tv.pluto.android,3313,0
com.gamma.scan,3417,0
org.telegram.messenger.web,3483,0
com.whatsapp,3544,0
com.instagram.android,3507,0
com.facebook.orca,3626,0
com.zzkko,3623,0
com.disney.disneyplus,3283,0
com.snapchat.android,3340,0
com.facebook.lite,3379,0
com.ubercab,3378,0
com.mcdonalds.mobileapp,3330,0
com.netflix.mediaclient,3410,0
com.discord,3325,0
com.duolingo,3425,0
com.ebay.mobile,3478,0
com.outfit7.talkingnewsfree,3354,0
com.pinterest,3290,0
tv.twitch.android.app,3480,0
kjv.bible.kingjamesbible,3424,0
com.tinder,3341,0
com.expedia.bookings,3588,0
com.indeed.android.jobsearch,3324,0
com.contextlogic.wish,3430,0
com.alibaba.intl.android.apps.poseidon,3425,0
com.meditation.deepsleep.relax,3401,0
me.lyft.android,3280,0
com.yahoo.mobile.client.android.mail,3410,0
com.linkedin.android,3380,0
com.yahoo.mobile.client.android.finance,3373,0
tv.pluto.android,3334,0
com.gamma.scan,3253,0
org.telegram.messenger.web,3355,0
com.whatsapp,3534,0
com.instagram.android,3464,0
com.facebook.orca,3628,0
com.zzkko,3415,0
com.disney.disneyplus,3312,0
com.snapchat.android,3489,0
com.facebook.lite,3377,0
com.ubercab,3437,0
com.mcdonalds.mobileapp,3305,0
com.netflix.mediaclient,3338,0
com.discord,3293,0
com.duolingo,3348,0
com.ebay.mobile,3433,0
com.outfit7.talkingnewsfree,4017,0
com.pinterest,3344,0
tv.twitch.android.app,3387,0
kjv.bible.kingjamesbible,3575,0
com.tinder,3357,0
com.expedia.bookings,3407,0
com.indeed.android.jobsearch,3282,0
com.contextlogic.wish,3396,0
com.alibaba.intl.android.apps.poseidon,3471,0
com.meditation.deepsleep.relax,3553,0
me.lyft.android,3360,0
com.yahoo.mobile.client.android.mail,3380,0
com.linkedin.android,3659,0
com.yahoo.mobile.client.android.finance,3361,0
tv.pluto.android,3277,0
com.gamma.scan,3372,0
org.telegram.messenger.web,3666,0
com.whatsapp,3445,0
com.instagram.android,3593,0
com.facebook.orca,3595,0
com.zzkko,3699,0
com.disney.disneyplus,3339,0
com.snapchat.android,3447,0
com.facebook.lite,3354,0
com.ubercab,3355,0
com.mcdonalds.mobileapp,3318,0
com.netflix.mediaclient,3477,0
com.discord,3344,0
com.duolingo,3355,0
com.ebay.mobile,3436,0
com.outfit7.talkingnewsfree,3350,0
com.pinterest,3317,0
tv.twitch.android.app,3532,0
kjv.bible.kingjamesbible,3356,0
com.tinder,3337,0
com.expedia.bookings,3446,0
com.indeed.android.jobsearch,3393,0
com.contextlogic.wish,3348,0
com.alibaba.intl.android.apps.poseidon,3622,0
com.meditation.deepsleep.relax,3397,0
me.lyft.android,3296,0
com.yahoo.mobile.client.android.mail,3427,0
com.linkedin.android,3390,0
com.yahoo.mobile.client.android.finance,3488,0
tv.pluto.android,3343,0
com.gamma.scan,3261,0
org.telegram.messenger.web,3354,0
com.whatsapp,3466,0
com.instagram.android,3448,0
com.facebook.orca,3641,0
com.zzkko,3377,0
com.disney.disneyplus,3310,0
com.snapchat.android,3405,0
com.facebook.lite,3334,0
com.ubercab,3385,0
com.mcdonalds.mobileapp,3764,0
com.netflix.mediaclient,3317,0
com.discord,3277,0
com.duolingo,3566,0
com.ebay.mobile,3428,0
com.outfit7.talkingnewsfree,3398,0
com.pinterest,3507,0
tv.twitch.android.app,3339,0
kjv.bible.kingjamesbible,3501,0
com.tinder,3349,0
com.expedia.bookings,3366,0
com.indeed.android.jobsearch,3326,0
com.contextlogic.wish,3383,0
com.alibaba.intl.android.apps.poseidon,3415,0
com.meditation.deepsleep.relax,3343,0
me.lyft.android,3324,0
com.yahoo.mobile.client.android.mail,3411,0
com.linkedin.android,3396,0
com.yahoo.mobile.client.android.finance,3634,0
tv.pluto.android,3366,0
com.gamma.scan,3359,0
org.telegram.messenger.web,3377,0
com.whatsapp,3495,0
com.instagram.android,3522,0
com.facebook.orca,3603,0
com.zzkko,3554,0
com.disney.disneyplus,3310,0
com.snapchat.android,3389,0
com.facebook.lite,3575,0
com.ubercab,3336,0
com.mcdonalds.mobileapp,3337,0
com.netflix.mediaclient,3556,0
com.discord,3311,0
com.duolingo,3383,0
com.ebay.mobile,3514,0
com.outfit7.talkingnewsfree,3351,0
com.pinterest,3414,0
tv.twitch.android.app,3364,0
kjv.bible.kingjamesbible,3407,0
com.tinder,3412,0
com.expedia.bookings,3407,0
com.indeed.android.jobsearch,3317,0
com.contextlogic.wish,3358,0
com.alibaba.intl.android.apps.poseidon,3436,0
com.meditation.deepsleep.relax,3343,0
me.lyft.android,3320,0
com.yahoo.mobile.client.android.mail,3353,0
com.linkedin.android,3404,0
com.yahoo.mobile.client.android.finance,3938,0
tv.pluto.android,3331,0
com.gamma.scan,3308,0
org.telegram.messenger.web,3508,0
com.whatsapp,3473,0
com.instagram.android,3450,0
com.facebook.orca,3686,0
com.zzkko,3399,0
com.disney.disneyplus,3306,0
com.snapchat.android,3546,0
com.facebook.lite,3352,0
com.ubercab,3350,0
com.mcdonalds.mobileapp,3839,0
com.netflix.mediaclient,3382,0
com.discord,3317,0
com.duolingo,3530,0
com.ebay.mobile,3604,0
com.outfit7.talkingnewsfree,3353,0
com.pinterest,3313,0
tv.twitch.android.app,3334,0
kjv.bible.kingjamesbible,3397,0
com.tinder,3382,0
com.expedia.bookings,3394,0
com.indeed.android.jobsearch,3308,0
com.contextlogic.wish,3396,0
com.alibaba.intl.android.apps.poseidon,3476,0
com.meditation.deepsleep.relax,3675,0
me.lyft.android,3405,0
com.yahoo.mobile.client.android.mail,3438,0
com.linkedin.android,3354,0
com.yahoo.mobile.client.android.finance,3379,0
tv.pluto.android,3432,0
com.gamma.scan,3303,0
org.telegram.messenger.web,3415,0
com.whatsapp,3495,0
com.instagram.android,3420,0
com.facebook.orca,4109,0
com.zzkko,3337,0
com.disney.disneyplus,3392,0
com.snapchat.android,3561,0
com.facebook.lite,3342,0
com.ubercab,3393,0
com.mcdonalds.mobileapp,3336,0
com.netflix.mediaclient,3592,0
com.discord,3313,0
com.duolingo,3608,0
com.ebay.mobile,3390,0
com.outfit7.talkingnewsfree,3333,0
com.pinterest,3634,0
tv.twitch.android.app,3547,0
kjv.bible.kingjamesbible,3429,0
com.tinder,3343,0
com.expedia.bookings,3384,0
com.indeed.android.jobsearch,3316,0
com.contextlogic.wish,3384,0
com.alibaba.intl.android.apps.poseidon,3428,0
com.meditation.deepsleep.relax,3428,0
me.lyft.android,3586,0
com.yahoo.mobile.client.android.mail,3670,0
com.linkedin.android,3773,0
com.yahoo.mobile.client.android.finance,3501,0
tv.pluto.android,3312,0
com.gamma.scan,3252,0
org.telegram.messenger.web,3376,0
com.whatsapp,3660,0
com.instagram.android,3407,0
com.facebook.orca,3647,0
com.zzkko,3431,0
com.disney.disneyplus,3306,0
com.snapchat.android,3361,0
com.facebook.lite,3503,0
com.ubercab,3355,0
com.mcdonalds.mobileapp,3330,0
com.netflix.mediaclient,3396,0
com.discord,3311,0
com.duolingo,3395,0
com.ebay.mobile,3815,0
com.outfit7.talkingnewsfree,3351,0
com.pinterest,3404,0
tv.twitch.android.app,3343,0
kjv.bible.kingjamesbible,3392,0
com.tinder,3384,0
com.expedia.bookings,3588,0
com.indeed.android.jobsearch,3303,0
com.contextlogic.wish,3359,0
com.alibaba.intl.android.apps.poseidon,3450,0
com.meditation.deepsleep.relax,3356,0
me.lyft.android,3276,0
com.yahoo.mobile.client.android.mail,3519,0
com.linkedin.android,3397,0
com.yahoo.mobile.client.android.finance,3375,0
tv.pluto.android,3310,0
com.gamma.scan,3299,0
org.telegram.messenger.web,3333,0
com.whatsapp,3537,0
com.instagram.android,3442,0
com.facebook.orca,3617,0
com.zzkko,3400,0
com.disney.disneyplus,3339,0
com.snapchat.android,3397,0
com.facebook.lite,3613,0
com.ubercab,3380,0
com.mcdonalds.mobileapp,3279,0
com.netflix.mediaclient,3348,0
com.discord,3350,0
com.duolingo,3431,0
com.ebay.mobile,3385,0
com.outfit7.talkingnewsfree,3346,0
com.pinterest,3390,0
tv.twitch.android.app,3341,0
kjv.bible.kingjamesbible,3376,0
com.tinder,3639,0
com.expedia.bookings,3404,0
com.indeed.android.jobsearch,3322,0
com.contextlogic.wish,3397,0
com.alibaba.intl.android.apps.poseidon,3414,0
com.meditation.deepsleep.relax,3369,0
me.lyft.android,3404,0
com.yahoo.mobile.client.android.mail,3386,0
com.linkedin.android,3924,0
com.yahoo.mobile.client.android.finance,3395,0
tv.pluto.android,3363,0
com.gamma.scan,3348,0
org.telegram.messenger.web,3491,0
com.whatsapp,3545,0
com.instagram.android,3452,0
com.facebook.orca,4759,0
com.zzkko,3397,0
